Row,Name,Count,crank1,crankx
,,,,
1,OLIVER ,6649,_Ê ,+6Ê
2,JACK ,5804,_Ê ,-1Ê
3,HARRY ,5379,_Ê ,+8Ê
4,JACOB ,5050,_Ê ,+19Ê
5,CHARLIE ,4642,_Ê ,+10Ê
6,THOMAS ,4405,_Ê ,-3Ê
7,GEORGE ,4320,+3Ê ,+10Ê
8,OSCAR ,4269,-1Ê ,+51Ê
9,JAMES ,4167,_Ê ,-5Ê
10,WILLIAM ,4134,-2Ê ,-2Ê
11,NOAH ,4085,+2Ê ,+63Ê
12,ALFIE ,3868,-1Ê ,+13Ê
13,JOSHUA ,3812,-1Ê ,-11Ê
14,MUHAMMAD ,3588,+1Ê ,+37Ê
15,HENRY ,3572,+3Ê ,+33Ê
16,LEO ,3414,+1Ê ,+41Ê
17,ARCHIE ,3099,-1Ê ,+28Ê
18,ETHAN ,3061,-4Ê ,-5Ê
19,JOSEPH ,3041,_Ê ,-9Ê
20,FREDDIE ,3023,+15Ê ,+76Ê
21,SAMUEL ,3021,-1Ê ,-15Ê
22,ALEXANDER ,2978,+2Ê ,-2Ê
23,LOGAN ,2813,+5Ê ,+56Ê
24,DANIEL ,2775,-2Ê ,-19Ê
25,ISAAC ,2636,+4Ê ,+33Ê
26,MAX ,2602,-1Ê ,+8Ê
27,MOHAMMED ,2536,-4Ê ,-8Ê
28,BENJAMIN ,2490,+2Ê ,-19Ê
29,MASON ,2470,-2Ê ,+48Ê
30,LUCAS ,2445,-4Ê ,+45Ê
31,EDWARD ,2417,+2Ê ,+12Ê
32,HARRISON ,2214,+4Ê ,+15Ê
33,JAKE ,2207,-1Ê ,-7Ê
34,DYLAN ,2188,-3Ê ,-13Ê
35,RILEY ,2177,-14Ê ,+53Ê
36,FINLEY ,2115,-2Ê ,+35Ê
37,THEO ,2008,+4Ê ,+76*Ê
38,SEBASTIAN ,1965,_Ê ,+52Ê
39,ADAM ,1790,+1Ê ,-15Ê
40,ZACHARY ,1670,-1Ê ,+68*Ê
41,ARTHUR ,1649,+2Ê ,+110*Ê
42,TOBY ,1352,+2Ê ,+8Ê
