Row,Name,Count,crank1,crankx
,,,,
1,AMELIA ,5327,_Ê ,+17Ê
2,OLIVIA ,4724,_Ê ,+4Ê
3,ISLA ,4012,+2Ê ,+165*Ê
4,EMILY ,3991,-1Ê ,-3Ê
5,POPPY ,3273,+2Ê ,+40Ê
6,AVA ,3171,-2Ê ,+147*Ê
7,ISABELLA ,3022,+1Ê ,+27Ê
8,JESSICA ,2995,-2Ê ,-5Ê
9,LILY ,2965,+3Ê ,+7Ê
10,SOPHIE ,2905,-1Ê ,-6Ê
11,GRACE ,2785,+2Ê ,_Ê
12,SOPHIA ,2752,+3Ê ,+51Ê
13,MIA ,2727,-3Ê ,+2Ê
14,EVIE ,2664,_Ê ,+24Ê
15,RUBY ,2595,-4Ê ,+16Ê
16,ELLA ,2465,_Ê ,-2Ê
17,SCARLETT ,2359,_Ê ,+51Ê
18,ISABELLE ,2241,+1Ê ,+12Ê
19,CHLOE ,2215,-1Ê ,-14Ê
20,SIENNA ,2174,+2Ê ,+135*Ê
21,FREYA ,2164,-1Ê ,+12Ê
22,PHOEBE ,2099,+2Ê ,+21Ê
23,CHARLOTTE ,2018,-2Ê ,-15Ê
24,DAISY ,1957,-1Ê ,+8Ê
25,ALICE ,1783,+2Ê ,+14Ê
26,FLORENCE ,1781,+3Ê ,+121*Ê
27,EVA ,1725,-1Ê ,+84*Ê
28,SOFIA ,1692,+2Ê ,+89*Ê
29,MILLIE ,1685,-4Ê ,-7Ê
30,LUCY ,1664,-2Ê ,-23Ê
31,EVELYN ,1506,+14Ê ,+126*Ê
32,ELSIE ,1497,+15Ê ,+387*Ê
33,ROSIE ,1475,+5Ê ,+24Ê
34,IMOGEN ,1463,_Ê ,+33Ê
35,LOLA ,1441,-3Ê ,+124*Ê
36,MATILDA ,1440,_Ê ,+71*Ê
37,ELIZABETH ,1398,+2Ê ,-2Ê
38,LAYLA ,1391,-7Ê ,+102*Ê
39,HOLLY ,1362,-6Ê ,-22Ê
40,LILLY ,1352,-3Ê ,+60Ê
41,MOLLY ,1349,-6Ê ,-20Ê
42,ERIN ,1343,-2Ê ,-6Ê
43,ELLIE ,1308,_Ê ,-41Ê
44,MAISIE ,1221,-3Ê ,+15Ê
45,MAYA ,1200,+6Ê ,+40Ê
46,ABIGAIL ,1181,_Ê ,-27Ê
47,ELIZA ,1165,+12Ê ,+131*Ê
48,GEORGIA ,1163,+12Ê ,-21Ê
49,JASMINE ,1155,+1Ê ,-12Ê
