1,George,Washington,Virginia,no party
2,John,Adams,Massachusetts,Federalist
3,Thomas,Jefferson,Virginia,Democratic - Republican
4,James,Madison,Virginia,Democratic - Republican
5,James,Monroe,Virginia,Democratic - Republican
6,John Quincy,Adams,Massachusetts,Democratic - Republican
7,Andrew,Jackson,South Carolina,Democratic
8,Martin,Van Buren,New York,Democratic
9,William Henry,Harrison,Virginia,Whig
10,John,Tyler,Virginia,Whig
11,James Knox,Polk,North Carolina,Democratic
12,Zachary,Taylor,Virginia,Whig
13,Millard,Fillmore,New York,Whig
14,Franklin,Pierce,New Hampshire,Democratic
15,James,Buchanan,Pennsylvania,Democratic
16,Abraham,Lincoln,Kentucky,Republican
17,Andrew,Johnson,North Carolina,Republican
18,Ulysses Simpson,Grant,Ohio,Republican
19,Rutherford Birchard,Hayes,Ohio,Republican
20,James Abram,Garfield,Ohio,Republican
21,Chester Alan,Arthur,Vermont,Republican
22,Grover,Cleveland,New Jersey,Democratic
23,Benjamin,Harrison,Ohio,Republican
24,Grover,Cleveland,New Jersey,Democratic
25,William,McKinley,Ohio,Republican
26,Theodore,Roosevelt,New York,Republican
27,William Howard,Taft,Ohio,Republican
28,Woodrow,Wilson,Virginia,Democratic
29,Warren Gamaliel,Harding,Ohio,Republican
30,Calvin,Coolidge,Vermont,Republican
31,Herbert Clark,Hoover,Iowa,Republican
32,Franklin Delano,Roosevelt,New York,Democratic
33,Harry S.,Truman,Missouri,Democratic
34,Dwight David,Eisenhower,Texas,Republican
35,John Fitzgerald,Kennedy,Massachusetts,Democratic
36,Lyndon Baines,Johnson,Texas,Democratic
37,Richard Milhous,Nixon,California,Republican
38,Gerald Rudolph,Ford,Nebraska,Republican
39,James Earl 'Jimmy',Carter,Georgia,Democratic
40,Ronald Wilson,Reagan,Illinois,Republican
41,George Herbert Walker,Bush,Massachusetts,Republican
42,William Jefferson 'Bill',Clinton,Arkansas,Democratic
43,George Walker,Bush,Connecticut,Republican
44,Barack Hussein,Obama,Hawaii,Democratic
45,Donald John,Trump,New York,Republican
46,Joseph Robinette,Biden,Scranton,Democratic
